id,date,time,event_hour,latitude,longitude,category,subcategory,GEOID
96012906244,2020-09-08,21:00:00,21,37.7888069152832,-122.4118881225586,Larceny Theft,Larceny - From Vehicle,060750121003
96033605151,2020-09-08,21:00:00,21,37.772457122802734,-122.41630554199219,Burglary,Burglary - Other,060750177002
95981007041,2020-09-08,21:12:00,21,37.753570556640625,-122.42302703857422,Recovered Vehicle,Recovered Vehicle,060750210001
95982603072,2020-09-08,21:15:00,21,37.733394622802734,-122.4294204711914,Robbery,Robbery - Other,060750255023
95982603074,2020-09-08,21:15:00,21,37.733394622802734,-122.4294204711914,Robbery,Robbery - Other,060750255023
97803528150,2020-09-08,21:17:00,21,37.77814865112305,-122.40296173095703,Malicious Mischief,Vandalism,060750178044
98920464060,2020-09-08,21:17:00,21,37.76580047607422,-122.44995880126953,Suspicious Occ,Suspicious Occ,060750171023
95984812030,2020-09-08,21:23:00,21,37.75184631347656,-122.40424346923828,Weapons Offense,Weapons Offense,060750229032
95984819057,2020-09-08,21:23:00,21,37.75184631347656,-122.40424346923828,Disorderly Conduct,Intimidation,060750229032
96069006244,2020-09-08,21:30:00,21,37.78310012817383,-122.41918182373047,Larceny Theft,Larceny - From Vehicle,060750124062
96344209029,2020-09-08,21:38:00,21,37.77293014526367,-122.38971710205078,Fraud,Fraud,060750607012
95989412027,2020-09-08,21:53:00,21,37.73249435424805,-122.37664031982422,Weapons Offense,Weapons Offense,060750231032
95991407021,2020-09-08,22:00:00,22,37.71118927001953,-122.40701293945312,Motor Vehicle Theft,Motor Vehicle Theft,060750264031
95991505083,2020-09-08,22:00:00,22,37.72917556762695,-122.46356201171875,Burglary,Burglary - Hot Prowl,060750309002
95991905083,2020-09-08,22:00:00,22,37.72917556762695,-122.46356201171875,Burglary,Burglary - Hot Prowl,060750309002
95992005083,2020-09-08,22:00:00,22,37.72917556762695,-122.46356201171875,Burglary,Burglary - Hot Prowl,060750309002
95992305083,2020-09-08,22:00:00,22,37.72917556762695,-122.46356201171875,Burglary,Burglary - Hot Prowl,060750309002
95992805083,2020-09-08,22:00:00,22,37.72917556762695,-122.46356201171875,Burglary,Burglary - Hot Prowl,060750309002
96028571013,2020-09-08,22:00:00,22,37.77841567993164,-122.4099349975586,Larceny Theft,Theft From Vehicle,060750176021
95982207041,2020-09-08,22:11:00,22,37.748634338378906,-122.42484283447266,Recovered Vehicle,Recovered Vehicle,060750214002
